timestamp,rule_pred,rule_label,lstm_pred,lstm_label,mismatch
1783294136.6470034,2,Highly Drowsy,2,Highly Drowsy,False
1783294136.675926,2,Highly Drowsy,2,Highly Drowsy,False
1783294136.7088366,2,Highly Drowsy,1,Drowsy,True
1783294136.7417479,2,Highly Drowsy,1,Drowsy,True
1783294136.7756643,2,Highly Drowsy,1,Drowsy,True
1783294136.8035855,2,Highly Drowsy,1,Drowsy,True
1783294136.8474677,2,Highly Drowsy,1,Drowsy,True
1783294136.882372,2,Highly Drowsy,1,Drowsy,True
1783294136.9133005,2,Highly Drowsy,1,Drowsy,True
1783294136.9591753,2,Highly Drowsy,1,Drowsy,True
1783294136.9890866,2,Highly Drowsy,1,Drowsy,True
1783294137.0239942,2,Highly Drowsy,1,Drowsy,True
1783294137.0559084,2,Highly Drowsy,1,Drowsy,True
1783294137.0898187,2,Highly Drowsy,1,Drowsy,True
1783294137.1277182,2,Highly Drowsy,1,Drowsy,True
1783294137.1656158,2,Highly Drowsy,1,Drowsy,True
1783294137.1975305,2,Highly Drowsy,1,Drowsy,True
1783294137.2324367,1,Drowsy,1,Drowsy,False
1783294137.2643507,1,Drowsy,1,Drowsy,False
1783294137.2962666,1,Drowsy,1,Drowsy,False
1783294137.3311737,1,Drowsy,1,Drowsy,False
1783294137.370069,1,Drowsy,1,Drowsy,False
1783294137.403977,0,Alert,1,Drowsy,True
1783294137.44088,0,Alert,1,Drowsy,True
1783294137.4777815,0,Alert,1,Drowsy,True
1783294137.518687,0,Alert,1,Drowsy,True
1783294137.553578,0,Alert,1,Drowsy,True
1783294137.5864892,0,Alert,1,Drowsy,True
1783294137.622393,0,Alert,1,Drowsy,True
1783294137.6513155,0,Alert,1,Drowsy,True
1783294137.6812358,0,Alert,1,Drowsy,True
1783294137.7121546,1,Drowsy,1,Drowsy,False
1783294137.7450657,1,Drowsy,1,Drowsy,False
1783294137.7799752,1,Drowsy,1,Drowsy,False
1783294137.8138824,1,Drowsy,1,Drowsy,False
1783294137.8438027,1,Drowsy,1,Drowsy,False
1783294137.8717265,1,Drowsy,1,Drowsy,False
1783294137.903642,1,Drowsy,1,Drowsy,False
1783294137.9355562,1,Drowsy,1,Drowsy,False
1783294137.9694648,1,Drowsy,1,Drowsy,False
1783294137.9983878,1,Drowsy,1,Drowsy,False
1783294138.027311,1,Drowsy,1,Drowsy,False
1783294138.0582285,1,Drowsy,1,Drowsy,False
1783294138.0911405,1,Drowsy,1,Drowsy,False
1783294138.1280415,1,Drowsy,1,Drowsy,False
1783294138.1589682,1,Drowsy,1,Drowsy,False
1783294138.1918707,1,Drowsy,1,Drowsy,False
1783294138.2187982,1,Drowsy,1,Drowsy,False
1783294138.2517107,1,Drowsy,1,Drowsy,False
1783294138.2876148,1,Drowsy,1,Drowsy,False
1783294138.3185356,1,Drowsy,1,Drowsy,False
1783294138.3514438,1,Drowsy,1,Drowsy,False
1783294138.3783722,1,Drowsy,1,Drowsy,False
1783294138.4092894,1,Drowsy,1,Drowsy,False
1783294138.4412034,1,Drowsy,1,Drowsy,False
1783294138.4761093,1,Drowsy,1,Drowsy,False
1783294138.50603,1,Drowsy,1,Drowsy,False
1783294138.5479214,1,Drowsy,1,Drowsy,False
1783294138.5868142,1,Drowsy,1,Drowsy,False
1783294138.6167347,1,Drowsy,1,Drowsy,False
1783294138.647654,1,Drowsy,1,Drowsy,False
1783294138.680563,1,Drowsy,1,Drowsy,False
1783294138.712478,1,Drowsy,1,Drowsy,False
1783294138.7414014,1,Drowsy,1,Drowsy,False
1783294138.7783124,1,Drowsy,1,Drowsy,False
1783294138.8072252,1,Drowsy,1,Drowsy,False
1783294138.840137,1,Drowsy,1,Drowsy,False
1783294138.8720503,1,Drowsy,1,Drowsy,False
1783294138.9119442,1,Drowsy,1,Drowsy,False
1783294138.959818,1,Drowsy,1,Drowsy,False
1783294138.990738,1,Drowsy,1,Drowsy,False
1783294139.0146704,1,Drowsy,1,Drowsy,False
1783294139.0485792,1,Drowsy,1,Drowsy,False
1783294139.0854833,1,Drowsy,1,Drowsy,False
1783294139.1223824,1,Drowsy,1,Drowsy,False
1783294139.1572895,1,Drowsy,1,Drowsy,False
1783294139.1911976,1,Drowsy,1,Drowsy,False
1783294139.2271032,1,Drowsy,1,Drowsy,False
1783294139.2630076,1,Drowsy,1,Drowsy,False
1783294139.2989113,2,Highly Drowsy,1,Drowsy,True
1783294139.3368092,2,Highly Drowsy,1,Drowsy,True
1783294139.3776999,2,Highly Drowsy,1,Drowsy,True
1783294139.4146018,2,Highly Drowsy,1,Drowsy,True
1783294139.4524984,2,Highly Drowsy,1,Drowsy,True
1783294139.4933891,2,Highly Drowsy,1,Drowsy,True
1783294139.529294,2,Highly Drowsy,1,Drowsy,True
1783294139.5642004,2,Highly Drowsy,1,Drowsy,True
1783294139.6030972,2,Highly Drowsy,1,Drowsy,True
1783294139.640995,2,Highly Drowsy,1,Drowsy,True
1783294139.6798933,2,Highly Drowsy,1,Drowsy,True
1783294139.7157965,2,Highly Drowsy,1,Drowsy,True
1783294139.8983076,2,Highly Drowsy,1,Drowsy,True
1783294139.9332135,2,Highly Drowsy,1,Drowsy,True
1783294139.9701152,2,Highly Drowsy,1,Drowsy,True
1783294140.00303,2,Highly Drowsy,1,Drowsy,True
1783294140.0479057,2,Highly Drowsy,1,Drowsy,True
1783294140.0838099,2,Highly Drowsy,1,Drowsy,True
1783294140.1177197,2,Highly Drowsy,2,Highly Drowsy,False
1783294140.1596084,2,Highly Drowsy,2,Highly Drowsy,False
1783294140.1935172,2,Highly Drowsy,2,Highly Drowsy,False
1783294140.2274275,2,Highly Drowsy,2,Highly Drowsy,False
1783294140.2633302,2,Highly Drowsy,1,Drowsy,True
1783294140.3012314,2,Highly Drowsy,1,Drowsy,True
1783294140.3391278,2,Highly Drowsy,1,Drowsy,True
1783294140.3770344,2,Highly Drowsy,1,Drowsy,True
1783294140.41293,2,Highly Drowsy,1,Drowsy,True
1783294140.4498322,2,Highly Drowsy,1,Drowsy,True
1783294140.489725,2,Highly Drowsy,1,Drowsy,True
1783294140.5236342,2,Highly Drowsy,1,Drowsy,True
1783294140.5625303,2,Highly Drowsy,1,Drowsy,True
1783294140.5964398,2,Highly Drowsy,1,Drowsy,True
1783294140.6323438,2,Highly Drowsy,1,Drowsy,True
1783294140.6702414,2,Highly Drowsy,1,Drowsy,True
1783294140.7061467,2,Highly Drowsy,1,Drowsy,True
1783294140.741053,2,Highly Drowsy,1,Drowsy,True
1783294140.777954,2,Highly Drowsy,1,Drowsy,True
1783294140.81685,2,Highly Drowsy,1,Drowsy,True
1783294140.8517578,2,Highly Drowsy,1,Drowsy,True
1783294140.8876607,2,Highly Drowsy,1,Drowsy,True
1783294140.9285538,1,Drowsy,1,Drowsy,False
